na,State,Name,Date
["xx",0,"Back Yard Lights","22/01/20T10:00:13"]
["xx",0,"Front Lights","22/01/20T10:00:13"]
["xx",0,"Back Yard Lights","22/01/20T10:01:13"]
["xx",0,"Front Lights","22/01/20T10:01:13"]
["xx",0,"Back Yard Lights","22/01/20T10:02:13"]
["xx",0,"Front Lights","22/01/20T10:02:13"]
["xx",0,"Back Yard Lights","22/01/20T10:03:13"]
["xx",0,"Front Lights","22/01/20T10:03:13"]
["xx",0,"Front Lights","22/01/20T10:04:13"]
["xx",0,"Back Yard Lights","22/01/20T10:04:13"]
["xx",0,"Front Lights","22/01/20T10:05:13"]
["xx",0,"Back Yard Lights","22/01/20T10:05:13"]
["xx",0,"Back Yard Lights","22/01/20T10:06:13"]
["xx",0,"Front Lights","22/01/20T10:06:13"]
["xx",0,"Back Yard Lights","22/01/20T10:07:13"]
["xx",0,"Front Lights","22/01/20T10:07:13"]
["xx",0,"Back Yard Lights","22/01/20T10:08:13"]
["xx",0,"Front Lights","22/01/20T10:08:13"]
["xx",0,"Back Yard Lights","22/01/20T10:09:13"]
["xx",0,"Front Lights","22/01/20T10:09:13"]
["xx",0,"Front Lights","22/01/20T10:10:13"]
["xx",0,"Back Yard Lights","22/01/20T10:10:13"]
["xx",0,"Front Lights","22/01/20T10:11:13"]
["xx",0,"Back Yard Lights","22/01/20T10:11:13"]
["xx",0,"Front Lights","22/01/20T10:12:13"]
["xx",0,"Back Yard Lights","22/01/20T10:12:13"]
["xx",0,"Front Lights","22/01/20T10:13:13"]
["xx",0,"Back Yard Lights","22/01/20T10:13:13"]
["xx",0,"Front Lights","22/01/20T10:14:13"]
["xx",0,"Back Yard Lights","22/01/20T10:14:13"]
["xx",0,"Front Lights","22/01/20T10:15:13"]
["xx",0,"Back Yard Lights","22/01/20T10:15:13"]
["xx",0,"Front Lights","22/01/20T10:16:13"]
["xx",0,"Back Yard Lights","22/01/20T10:16:13"]
["xx",0,"Back Yard Lights","22/01/20T10:17:13"]
["xx",0,"Front Lights","22/01/20T10:17:13"]
["xx",0,"Front Lights","22/01/20T10:18:13"]
["xx",0,"Back Yard Lights","22/01/20T10:18:13"]
["xx",0,"Back Yard Lights","22/01/20T10:19:13"]
["xx",0,"Front Lights","22/01/20T10:19:13"]
["xx",0,"Back Yard Lights","22/01/20T10:20:13"]
["xx",0,"Front Lights","22/01/20T10:20:13"]
["xx",0,"Back Yard Lights","22/01/20T10:21:13"]
["xx",0,"Front Lights","22/01/20T10:21:13"]
["xx",0,"Front Lights","22/01/20T10:22:13"]
["xx",0,"Back Yard Lights","22/01/20T10:22:13"]
["xx",0,"Front Lights","22/01/20T10:23:13"]
["xx",0,"Back Yard Lights","22/01/20T10:23:13"]
["xx",0,"Back Yard Lights","22/01/20T10:24:13"]
["xx",0,"Front Lights","22/01/20T10:24:13"]
["xx",0,"Back Yard Lights","22/01/20T10:25:13"]
["xx",0,"Front Lights","22/01/20T10:25:13"]
["xx",0,"Front Lights","22/01/20T10:26:13"]
["xx",0,"Back Yard Lights","22/01/20T10:26:13"]
["xx",0,"Front Lights","22/01/20T10:27:13"]
["xx",0,"Back Yard Lights","22/01/20T10:27:13"]
["xx",0,"Front Lights","22/01/20T10:28:13"]
["xx",0,"Back Yard Lights","22/01/20T10:28:13"]
["xx",0,"Back Yard Lights","22/01/20T10:29:13"]
["xx",0,"Front Lights","22/01/20T10:29:13"]
["xx",0,"Front Lights","22/01/20T10:30:13"]
["xx",0,"Back Yard Lights","22/01/20T10:30:13"]
["xx",0,"Front Lights","22/01/20T10:31:13"]
["xx",0,"Back Yard Lights","22/01/20T10:31:13"]
["xx",0,"Back Yard Lights","22/01/20T10:32:13"]
["xx",0,"Front Lights","22/01/20T10:32:13"]
["xx",0,"Back Yard Lights","22/01/20T10:33:13"]
["xx",0,"Front Lights","22/01/20T10:33:13"]
["xx",0,"Back Yard Lights","22/01/20T10:34:13"]
["xx",0,"Front Lights","22/01/20T10:34:13"]
["xx",0,"Back Yard Lights","22/01/20T10:35:13"]
["xx",0,"Front Lights","22/01/20T10:35:13"]
["xx",0,"Back Yard Lights","22/01/20T10:36:13"]
["xx",0,"Front Lights","22/01/20T10:36:13"]
["xx",0,"Back Yard Lights","22/01/20T10:37:13"]
["xx",0,"Front Lights","22/01/20T10:37:13"]
["xx",0,"Front Lights","22/01/20T10:38:13"]
["xx",0,"Back Yard Lights","22/01/20T10:38:13"]
["xx",0,"Front Lights","22/01/20T10:39:13"]
["xx",0,"Back Yard Lights","22/01/20T10:39:13"]
["xx",0,"Back Yard Lights","22/01/20T10:40:13"]
["xx",0,"Front Lights","22/01/20T10:40:13"]
["xx",0,"Back Yard Lights","22/01/20T10:41:13"]
["xx",0,"Front Lights","22/01/20T10:41:13"]
["xx",0,"Back Yard Lights","22/01/20T10:42:13"]
["xx",0,"Front Lights","22/01/20T10:42:13"]
["xx",0,"Back Yard Lights","22/01/20T10:43:13"]
["xx",0,"Front Lights","22/01/20T10:43:13"]
["xx",0,"Back Yard Lights","22/01/20T10:44:13"]
["xx",0,"Front Lights","22/01/20T10:44:13"]
["xx",0,"Back Yard Lights","22/01/20T10:45:13"]
["xx",0,"Front Lights","22/01/20T10:45:13"]
["xx",0,"Front Lights","22/01/20T10:46:13"]
["xx",0,"Back Yard Lights","22/01/20T10:46:13"]
["xx",0,"Front Lights","22/01/20T10:47:13"]
["xx",0,"Back Yard Lights","22/01/20T10:47:13"]
["xx",0,"Back Yard Lights","22/01/20T10:48:13"]
["xx",0,"Front Lights","22/01/20T10:48:13"]
["xx",0,"Back Yard Lights","22/01/20T10:49:13"]
["xx",0,"Front Lights","22/01/20T10:49:13"]
["xx",0,"Back Yard Lights","22/01/20T10:50:13"]
["xx",0,"Front Lights","22/01/20T10:50:13"]
["xx",0,"Front Lights","22/01/20T10:51:13"]
["xx",0,"Back Yard Lights","22/01/20T10:51:13"]
["xx",0,"Front Lights","22/01/20T10:52:13"]
["xx",0,"Back Yard Lights","22/01/20T10:52:13"]
["xx",0,"Front Lights","22/01/20T10:53:13"]
["xx",0,"Back Yard Lights","22/01/20T10:53:13"]
["xx",0,"Front Lights","22/01/20T10:54:13"]
["xx",0,"Back Yard Lights","22/01/20T10:54:13"]
["xx",0,"Front Lights","22/01/20T10:55:13"]
["xx",0,"Back Yard Lights","22/01/20T10:55:13"]
["xx",0,"Front Lights","22/01/20T10:56:13"]
["xx",0,"Back Yard Lights","22/01/20T10:56:13"]
["xx",0,"Front Lights","22/01/20T10:57:13"]
["xx",0,"Back Yard Lights","22/01/20T10:57:13"]
["xx",0,"Back Yard Lights","22/01/20T10:58:13"]
["xx",0,"Front Lights","22/01/20T10:58:13"]
["xx",0,"Back Yard Lights","22/01/20T10:59:13"]
["xx",0,"Front Lights","22/01/20T10:59:13"]
["xx",0,"Front Lights","22/01/20T11:00:13"]
["xx",0,"Back Yard Lights","22/01/20T11:00:13"]
["xx",0,"Front Lights","22/01/20T11:01:13"]
["xx",0,"Back Yard Lights","22/01/20T11:01:13"]
["xx",0,"Front Lights","22/01/20T11:02:13"]
["xx",0,"Back Yard Lights","22/01/20T11:02:13"]
["xx",0,"Back Yard Lights","22/01/20T11:03:13"]
["xx",0,"Front Lights","22/01/20T11:03:13"]
["xx",0,"Front Lights","22/01/20T11:04:13"]
["xx",0,"Back Yard Lights","22/01/20T11:04:13"]
["xx",0,"Front Lights","22/01/20T11:05:13"]
["xx",0,"Back Yard Lights","22/01/20T11:05:13"]
["xx",0,"Front Lights","22/01/20T11:06:13"]
["xx",0,"Back Yard Lights","22/01/20T11:06:13"]
["xx",0,"Front Lights","22/01/20T11:07:13"]
["xx",0,"Back Yard Lights","22/01/20T11:07:13"]
["xx",0,"Front Lights","22/01/20T11:08:13"]
["xx",0,"Back Yard Lights","22/01/20T11:08:13"]
["xx",0,"Back Yard Lights","22/01/20T11:09:13"]
["xx",0,"Front Lights","22/01/20T11:09:13"]
["xx",0,"Back Yard Lights","22/01/20T11:10:13"]
["xx",0,"Front Lights","22/01/20T11:10:13"]
["xx",0,"Back Yard Lights","22/01/20T11:11:13"]
["xx",0,"Front Lights","22/01/20T11:11:13"]
["xx",0,"Front Lights","22/01/20T11:12:13"]
["xx",0,"Back Yard Lights","22/01/20T11:12:13"]
["xx",0,"Front Lights","22/01/20T11:13:13"]
["xx",0,"Back Yard Lights","22/01/20T11:13:13"]
["xx",0,"Front Lights","22/01/20T11:14:13"]
["xx",0,"Back Yard Lights","22/01/20T11:14:13"]
["xx",0,"Back Yard Lights","22/01/20T11:15:13"]
["xx",0,"Front Lights","22/01/20T11:15:13"]
["xx",0,"Back Yard Lights","22/01/20T11:16:13"]
["xx",0,"Front Lights","22/01/20T11:16:13"]
["xx",0,"Front Lights","22/01/20T11:17:13"]
["xx",0,"Back Yard Lights","22/01/20T11:17:13"]
["xx",0,"Front Lights","22/01/20T11:18:13"]
["xx",0,"Back Yard Lights","22/01/20T11:18:13"]
["xx",0,"Front Lights","22/01/20T11:19:13"]
["xx",0,"Back Yard Lights","22/01/20T11:19:13"]
["xx",0,"Front Lights","22/01/20T11:20:13"]
["xx",0,"Back Yard Lights","22/01/20T11:20:13"]
["xx",0,"Front Lights","22/01/20T11:21:13"]
["xx",0,"Back Yard Lights","22/01/20T11:21:13"]
["xx",0,"Front Lights","22/01/20T11:22:13"]
["xx",0,"Back Yard Lights","22/01/20T11:22:13"]
["xx",0,"Front Lights","22/01/20T11:23:13"]
["xx",0,"Back Yard Lights","22/01/20T11:23:13"]
["xx",0,"Back Yard Lights","22/01/20T11:24:13"]
["xx",0,"Front Lights","22/01/20T11:24:13"]
["xx",0,"Front Lights","22/01/20T11:25:13"]
["xx",0,"Back Yard Lights","22/01/20T11:25:13"]
["xx",0,"Front Lights","22/01/20T11:26:13"]
["xx",0,"Back Yard Lights","22/01/20T11:26:13"]
["xx",0,"Front Lights","22/01/20T11:27:13"]
["xx",0,"Back Yard Lights","22/01/20T11:27:13"]
["xx",0,"Back Yard Lights","22/01/20T11:28:13"]
["xx",0,"Front Lights","22/01/20T11:28:13"]
["xx",0,"Back Yard Lights","22/01/20T11:29:13"]
["xx",0,"Front Lights","22/01/20T11:29:13"]
["xx",0,"Front Lights","22/01/20T11:30:13"]
["xx",0,"Back Yard Lights","22/01/20T11:30:13"]
["xx",0,"Back Yard Lights","22/01/20T11:31:13"]
["xx",0,"Front Lights","22/01/20T11:31:13"]
["xx",0,"Front Lights","22/01/20T11:32:13"]
["xx",0,"Back Yard Lights","22/01/20T11:32:13"]
["xx",0,"Front Lights","22/01/20T11:33:13"]
["xx",0,"Back Yard Lights","22/01/20T11:33:13"]
["xx",0,"Front Lights","22/01/20T11:34:13"]
["xx",0,"Back Yard Lights","22/01/20T11:34:13"]
["xx",0,"Front Lights","22/01/20T11:35:13"]
["xx",0,"Back Yard Lights","22/01/20T11:35:13"]
["xx",0,"Front Lights","22/01/20T11:36:13"]
["xx",0,"Back Yard Lights","22/01/20T11:36:13"]
["xx",0,"Back Yard Lights","22/01/20T11:37:13"]
["xx",0,"Front Lights","22/01/20T11:37:13"]
["xx",0,"Back Yard Lights","22/01/20T11:38:13"]
["xx",0,"Front Lights","22/01/20T11:38:13"]
["xx",0,"Back Yard Lights","22/01/20T11:39:13"]
["xx",0,"Front Lights","22/01/20T11:39:13"]
["xx",0,"Back Yard Lights","22/01/20T11:40:13"]
["xx",0,"Front Lights","22/01/20T11:40:13"]
["xx",0,"Back Yard Lights","22/01/20T11:41:13"]
["xx",0,"Front Lights","22/01/20T11:41:13"]
["xx",0,"Back Yard Lights","22/01/20T11:42:13"]
["xx",0,"Front Lights","22/01/20T11:42:13"]
["xx",0,"Back Yard Lights","22/01/20T11:43:13"]
["xx",0,"Front Lights","22/01/20T11:43:13"]
["xx",0,"Front Lights","22/01/20T11:44:13"]
["xx",0,"Back Yard Lights","22/01/20T11:44:13"]
["xx",0,"Front Lights","22/01/20T11:45:13"]
["xx",0,"Back Yard Lights","22/01/20T11:45:13"]
["xx",0,"Back Yard Lights","22/01/20T11:46:13"]
["xx",0,"Front Lights","22/01/20T11:46:13"]
["xx",0,"Back Yard Lights","22/01/20T11:47:13"]
["xx",0,"Front Lights","22/01/20T11:47:13"]
["xx",0,"Front Lights","22/01/20T11:48:13"]
["xx",0,"Back Yard Lights","22/01/20T11:48:13"]
["xx",0,"Front Lights","22/01/20T11:49:13"]
["xx",0,"Back Yard Lights","22/01/20T11:49:13"]
["xx",0,"Front Lights","22/01/20T11:50:13"]
["xx",0,"Back Yard Lights","22/01/20T11:50:13"]
["xx",0,"Front Lights","22/01/20T11:51:13"]
["xx",0,"Back Yard Lights","22/01/20T11:51:13"]
["xx",0,"Back Yard Lights","22/01/20T11:52:13"]
["xx",0,"Front Lights","22/01/20T11:52:13"]
["xx",0,"Front Lights","22/01/20T11:53:13"]
["xx",0,"Back Yard Lights","22/01/20T11:53:13"]
["xx",0,"Front Lights","22/01/20T11:54:13"]
["xx",0,"Back Yard Lights","22/01/20T11:54:13"]
["xx",0,"Back Yard Lights","22/01/20T11:55:13"]
["xx",0,"Front Lights","22/01/20T11:55:13"]
["xx",0,"Back Yard Lights","22/01/20T11:56:13"]
["xx",0,"Front Lights","22/01/20T11:56:13"]
["xx",0,"Back Yard Lights","22/01/20T11:57:13"]
["xx",0,"Front Lights","22/01/20T11:57:13"]
["xx",0,"Back Yard Lights","22/01/20T11:58:13"]
["xx",0,"Front Lights","22/01/20T11:58:13"]
["xx",0,"Front Lights","22/01/20T11:59:13"]
["xx",0,"Back Yard Lights","22/01/20T11:59:13"]
["xx",0,"Back Yard Lights","22/01/20T12:00:13"]
["xx",0,"Front Lights","22/01/20T12:00:13"]
["xx",0,"Back Yard Lights","22/01/20T12:01:13"]
["xx",0,"Front Lights","22/01/20T12:01:13"]
["xx",0,"Back Yard Lights","22/01/20T12:02:13"]
["xx",0,"Front Lights","22/01/20T12:02:13"]
["xx",0,"Back Yard Lights","22/01/20T12:03:13"]
["xx",0,"Front Lights","22/01/20T12:03:13"]
["xx",0,"Front Lights","22/01/20T12:04:13"]
["xx",0,"Back Yard Lights","22/01/20T12:04:13"]
["xx",0,"Front Lights","22/01/20T12:05:13"]
["xx",0,"Back Yard Lights","22/01/20T12:05:13"]
["xx",0,"Back Yard Lights","22/01/20T12:06:13"]
["xx",0,"Front Lights","22/01/20T12:06:13"]
["xx",0,"Front Lights","22/01/20T12:07:13"]
["xx",0,"Back Yard Lights","22/01/20T12:07:13"]
["xx",0,"Front Lights","22/01/20T12:08:13"]
["xx",0,"Back Yard Lights","22/01/20T12:08:13"]
["xx",0,"Front Lights","22/01/20T12:09:13"]
["xx",0,"Back Yard Lights","22/01/20T12:09:13"]
["xx",0,"Front Lights","22/01/20T12:10:13"]
["xx",0,"Back Yard Lights","22/01/20T12:10:13"]
["xx",0,"Front Lights","22/01/20T12:11:13"]
["xx",0,"Back Yard Lights","22/01/20T12:11:13"]
["xx",0,"Back Yard Lights","22/01/20T12:12:13"]
