Date,Name,State
["19/01/2022, 15:42:42","Back Yard Lights",1]
["19/01/2022, 15:42:57","Front Lights",0]
["19/01/2022, 15:42:57","Back Yard Lights",1]
["19/01/2022, 15:42:58","Back Yard Lights",1]
["19/01/2022, 15:43:12","Back Yard Lights",1]
["19/01/2022, 15:43:27","Back Yard Lights",1]
["19/01/2022, 15:43:42","Back Yard Lights",1]
["19/01/2022, 15:43:57","Front Lights",0]
["19/01/2022, 15:43:57","Back Yard Lights",1]
["19/01/2022, 15:43:58","Back Yard Lights",1]
["19/01/2022, 15:44:12","Back Yard Lights",1]
["19/01/2022, 15:44:27","Back Yard Lights",1]
["19/01/2022, 15:44:42","Back Yard Lights",1]
["19/01/2022, 15:44:57","Front Lights",0]
["19/01/2022, 15:44:57","Back Yard Lights",1]
["19/01/2022, 15:44:58","Back Yard Lights",1]
["19/01/2022, 15:45:12","Back Yard Lights",1]
["19/01/2022, 15:45:27","Back Yard Lights",1]
["19/01/2022, 15:45:42","Back Yard Lights",1]
["19/01/2022, 15:45:57","Front Lights",0]
["19/01/2022, 15:45:57","Back Yard Lights",1]
["19/01/2022, 15:45:58","Back Yard Lights",1]
["19/01/2022, 15:46:12","Back Yard Lights",1]
["19/01/2022, 15:46:27","Back Yard Lights",1]
["19/01/2022, 15:46:42","Back Yard Lights",1]
["19/01/2022, 15:46:57","Front Lights",0]
["19/01/2022, 15:46:57","Back Yard Lights",1]
["19/01/2022, 15:46:58","Back Yard Lights",1]
["19/01/2022, 15:47:12","Back Yard Lights",1]
["19/01/2022, 15:47:27","Back Yard Lights",1]
["19/01/2022, 15:47:42","Back Yard Lights",1]
["19/01/2022, 15:47:57","Front Lights",0]
["19/01/2022, 15:47:57","Back Yard Lights",1]
["19/01/2022, 15:47:58","Back Yard Lights",1]
["19/01/2022, 15:48:12","Back Yard Lights",1]
["19/01/2022, 15:48:27","Back Yard Lights",1]
["19/01/2022, 15:48:42","Back Yard Lights",1]
["19/01/2022, 15:48:57","Front Lights",0]
["19/01/2022, 15:48:57","Back Yard Lights",1]
["19/01/2022, 15:48:58","Back Yard Lights",1]
["19/01/2022, 15:49:12","Back Yard Lights",1]
["19/01/2022, 15:49:27","Back Yard Lights",1]
["19/01/2022, 15:49:41","Back Yard Lights",1]
["19/01/2022, 15:49:57","Front Lights",0]
["19/01/2022, 15:49:57","Back Yard Lights",1]
["19/01/2022, 15:49:58","Back Yard Lights",1]
["19/01/2022, 15:50:12","Back Yard Lights",1]
["19/01/2022, 15:50:27","Back Yard Lights",1]
["19/01/2022, 15:50:42","Back Yard Lights",1]
["19/01/2022, 15:50:57","Front Lights",0]
["19/01/2022, 15:50:57","Back Yard Lights",1]
["19/01/2022, 15:50:58","Back Yard Lights",1]
["19/01/2022, 15:51:12","Back Yard Lights",1]
["19/01/2022, 15:51:27","Back Yard Lights",1]
["19/01/2022, 15:51:42","Back Yard Lights",1]
["19/01/2022, 15:51:57","Front Lights",0]
["19/01/2022, 15:51:57","Back Yard Lights",1]
["19/01/2022, 15:51:58","Back Yard Lights",1]
["19/01/2022, 15:52:12","Back Yard Lights",1]
["19/01/2022, 15:52:27","Back Yard Lights",1]
["19/01/2022, 15:52:42","Back Yard Lights",1]
["19/01/2022, 15:52:57","Front Lights",0]
["19/01/2022, 15:52:57","Back Yard Lights",1]
